course,lecturer,group,classroom
Zarządzanie zaopatrzeniem,Inż. Jan Szymański,QYC.YJ4.TUT.5534.TQY,F345
Zarządzanie projektami,Mgr. Katarzyna Szymańska,QSE.BX6.RDZ.3792.YNU,D160
Zarządzanie łańcuchem dostaw,Prof. Marek Wójcik,TUX.QM4.RBR.3097.WGK,E318
Zarządzanie transportem kolejowym,Prof. Maria Woźniak,TQM.HD9.EEI.3934.STN,C245
Zarządzanie logistyką,Dr hab. Zofia Szymanowska,WYI.TL2.TFF.6186.JHL,F124
Historia gospodarcza,Mgr. Tomasz Kamiński,YDE.JT5.QJX.5219.EDV,A242
Zarządzanie projektami IT,Mgr. Piotr Wójcik,HVT.AU4.ZYZ.2948.MBF,H369
Zarządzanie międzykulturowe,Inż. Piotr Lewandowski,TQM.HD9.EEI.3934.STN,A129
Zarządzanie wydarzeniami,Dr hab. Ewa Dąbrowska,HKZ.GL3.BJB.4801.KBY,G240
Zielony łańcuch dostaw,Dr. Maria Lewandowska,CFZ.ID0.BEZ.3781.RGX,H186
Globalizacja i biznes,Dr. Jan Zieliński,ZFT.RD7.FTV.1813.RKV,A396
Zarządzanie wydajnością,Dr hab. Andrzej Wójcik,JEA.JB5.MHM.9323.KHY,E354
Finanse publiczne,Mgr. Katarzyna Szymańska,SUL.IP4.RGW.7174.FMM,H101
Ekonomia przemysłowa,Inż. Marek Szymański,YMH.LK9.BNM.4167.MHF,G210
Zasady audytu,Prof. Zofia Wójcik,RSQ.YZ3.EGU.5784.EXO,F389
Relacje przemysłowe,Mgr. Tomasz Dąbkowski,IAN.EB9.HAN.4884.THC,A129
Zarządzanie polem namiotowym,Mgr. Zofia Kowalska,UZE.LD2.TEV.5749.FHG,B340
Relacje z mediami,Mgr. Marek Wójcik,EGA.TU9.VRT.2826.QYN,D106
Biznes międzynarodowy,Inż. Jan Nowak,PLH.LQ3.MTC.3521.PGO,D106
Zarządzanie strategiczne,Dr. Marek Dąbrowski,SQP.TV7.URO.4305.QVL,A242
Zachowania konsumentów,Inż. Jan Nowak,RYX.BE0.FMU.1872.NND,G389
Kanały dystrybucji,Inż. Katarzyna Dąbrowska,YMH.LK9.BNM.4167.MHF,C332
Analiza dużych zbiorów danych,Inż. Marek Szymański,XUT.PP4.WUP.5597.NPT,B379
Przywództwo,Dr. Zofia Woźniakowska,TJV.BQ7.GMX.2994.NOH,B379
Ekonomia energetyczna,Mgr. Maria Dąbrowska,XUQ.LY4.VSA.1894.UIH,E354
Ekonomia nieruchomości,Inż. Anna Kowalska,PXN.NF6.JCD.2409.YTY,C328
Zaawansowane badania konsumenckie,Prof. Zofia Wójcik,SQP.TV7.URO.4305.QVL,G104
Finanse behawioralne,Dr hab. Ewa Dąbrowska,AID.WO9.PQJ.6573.EAV,H236
Wprowadzenie do mikroekonomii,Mgr. Marek Wójcik,BFN.OF8.PWR.0279.RWQ,E211
Rozwój produktu,Prof. Maria Wójcik,KTW.VX2.MBA.2160.TPC,H186
Prawo gospodarcze,Dr. Maria Zieliński,LKU.BN9.NAA.4285.QLQ,D264
Bankowość i usługi finansowe,Mgr. Jan Szymański,EYU.DT6.TBC.3104.SJC,F389
Globalne strategie HR,Inż. Katarzyna Dąbrowska,QYC.YJ4.TUT.5534.TQY,B226
Zarządzanie operacyjne,Inż. Andrzej Kowalski,EJP.UH3.LEV.8022.YDH,D352
Tworzenie treści cyfrowych,Inż. Andrzej Kowalski,UZL.LB0.AQE.7323.UPI,F345
Zaawansowana strategia marketingowa,Mgr. Piotr Szymański,FZR.NM3.HNC.2615.WZA,F205
Ekonomia nieruchomości,Dr hab. Maria Lewandowska,REY.EF1.LDG.3382.AKB,G364
Transformacja cyfrowa,Prof. Tomasz Wójcik,GCH.DV6.ERX.9640.DNJ,G364
E-commerce,Dr. Maria Dąbrowska,NDK.FF5.RXY.5916.IDI,A326
Finanse publiczne,Mgr. Anna Zielińska,KDP.BC8.VXT.8146.OUS,G389
Inteligentna logistyka miejska,Inż. Jan Szymański,NHT.TT7.RJR.0906.MSZ,D191
Zarządzanie zdrowiem i bezpieczeństwem,Mgr. Zofia Kowalska,YFY.AV8.HYC.2161.UAZ,G311
Zarządzanie sprzedażą,Mgr. Zofia Kowalska,TNW.AG3.GVN.7332.DQB,D191
Etyka w biznesie międzynarodowym,Prof. Maria Szymańska,XXS.EZ2.OIQ.3916.YLB,E325
Logistyka portowa i morska,Dr. Marek Woźniak,UXG.UH4.KAL.6970.LCC,B243
Analiza szeregów czasowych,Mgr. Tomasz Szymański,IDW.TJ8.EQN.2797.ORO,C143
Tworzenie stron internetowych,Dr. Marek Lewandowski,JQG.HO1.SYW.0202.VDD,B300
Zarządzanie marką,Inż. Zofia Dąbrowska,SEA.EL4.UCP.5738.FCI,F345
Transformacja cyfrowa,Prof. Zofia Wójcik,WZU.CW1.XTG.3642.WUL,C320
Ubezpieczenia,Mgr. Marek Wójcik,YDD.CP0.OJM.7964.RBU,H251
Wprowadzenie do nauki o danych,Prof. Maria Szymańska,PXN.NF6.JCD.2409.YTY,C242
Rachunkowość finansowa,Mgr. Maria Dąbrowska,DLR.JR8.DZW.1254.CDR,G389
Strategia korporacyjna,Mgr. Anna Lewandowska,TZY.YT4.LMI.6309.TTF,F244
Ekonomia energetyczna,Dr hab. Andrzej Lewandowski,XLS.QK5.QSN.6714.RMY,E354
Design Thinking,Inż. Katarzyna Wiśniewska,YFY.AV8.HYC.2161.UAZ,A396
Finanse łańcucha dostaw,Dr. Marek Lewandowski,HPC.JR1.ZWN.0497.ITX,D191
Zarządzanie reklamą,Inż. Andrzej Nowak,UIK.YG2.MZB.0483.FSE,B193
Globalizacja i biznes,Dr. Marek Dąbrowski,IUX.GM7.ALK.4346.VED,F244
Podstawy zarządzania,Prof. Katarzyna Zielińska,EWA.HP7.WCN.5830.EAO,C379
Użycie oprogramowania statystycznego,Mgr. Zofia Wiśniewska,JIC.UT3.KQX.0426.JOR,E282
Kreatywność i innowacje,Dr. Katarzyna Szymańska,CPU.AW1.GOQ.7175.XAG,G240
Komunikacja interpersonalna,Dr. Marek Kamiński,HMP.ZE3.VKW.6047.OAW,H236
Zarządzanie innowacjami,Inż. Andrzej Kowalski,UWR.OR4.NYJ.8726.KYV,F244
Metodologia Six Sigma,Mgr. Piotr Szymański,APJ.FY5.UFT.6300.ONQ,C379
Negocjacje i rozwiązywanie konfliktów,Dr. Piotr Woźniak,CQO.ZF5.MEI.7798.VHM,D333
Zrównoważony rozwój,Dr. Anna Lewandowska,QKN.FU1.NVZ.7963.LGU,A396
Kanały dystrybucji,Prof. Tomasz Dąbrowski,QKS.EA3.WMI.4507.BGM,C105
Sztuczna inteligencja w biznesie,Dr. Zofia Woźniakowska,SEL.QF9.EMP.1242.OKU,D255
Design Thinking,Dr hab. Tomasz Woźniak,SEL.QF9.EMP.1242.OKU,C320
Zarządzanie zasobami ludzkimi,Mgr. Maria Kamińska,WCZ.ZI6.EIL.6927.ANQ,F229
Zachowania organizacyjne,Dr hab. Maria Lewandowska,EWE.GX2.ODV.7316.WMH,A188
Zaawansowane techniki Excela,Dr hab. Zofia Szymanowska,DZE.CI4.XLZ.8254.SJU,E186
Rachunkowość zarządcza,Dr hab. Andrzej Lewandowski,YFY.AV8.HYC.2161.UAZ,B340
Przedsiębiorczość,Prof. Zofia Zielińska,SIL.DJ6.TIA.8325.HAB,H235
Ekonomia polityczna,Dr hab. Ewa Dąbrowska,TML.NS4.BCX.5709.BLF,B340
Wprowadzenie do makroekonomii,Dr hab. Marek Dąbrowski,OBB.VH5.LUN.0250.ZGC,H361
Analiza ruchu w sieci,Prof. Katarzyna Wójcik,TUT.BO9.PPN.5857.JDI,B198
Lean Management,Dr hab. Marek Zieliński,YRI.BF4.UAT.9531.JAD,B299
Analiza HR,Dr hab. Piotr Nowak,BFP.QK3.YOL.4994.ANV,G389
Systemy zarządzania bazami danych,Dr hab. Anna Wiśniewska,XGD.AR0.ANY.5116.CIL,H264
Zaawansowane finanse przedsiębiorstw,Mgr. Piotr Kamiński,EWA.HP7.WCN.5830.EAO,G364
Historia gospodarcza,Dr. Anna Zielińska,RFV.CH2.OLX.7492.FPO,F124
Zamówienia publiczne,Prof. Zofia Wójcik,NOY.KB2.GLS.8276.NTK,D255
Zachowania organizacyjne,Dr hab. Piotr Nowakowski,YMH.LK9.BNM.4167.MHF,C379
Zrównoważony rozwój,Dr. Maria Zieliński,TXE.TR0.JGS.5994.WSD,D271
Transformacja cyfrowa,Inż. Andrzej Kowalski,EDK.VE5.MBM.5514.LJK,H134
Studia kulturowe,Mgr. Maria Dąbrowska,CYV.DC9.AFR.6362.CYX,F142
Zarządzanie międzykulturowe,Dr hab. Zofia Szymanowska,YHL.FN3.YQB.9858.ITR,F142
Ubezpieczenia,Inż. Zofia Woźniak,ZBD.VA1.MYH.5403.BLV,F205
Teoria mikroekonomiczna,Prof. Tomasz Dąbrowski,FGJ.AP7.YSO.3133.DTF,C332
Zaawansowane umiejętności komunikacyjne,Prof. Piotr Nowak,EYU.DT6.TBC.3104.SJC,D333
Zarządzanie logistyką,Inż. Katarzyna Zielińska,SWG.KD4.MEK.9582.KWP,F205
Ekonomia pracy,Mgr. Marek Zieliński,TXE.TR0.JGS.5994.WSD,B193
Rozwój gospodarczy,Inż. Jan Szymański,EZE.KI2.VAU.3851.CQF,H365
Zaawansowane zaangażowanie pracowników,Prof. Zofia Wójcik,DKO.TD1.EWS.3152.AOQ,G277
Planowanie finansowe,Prof. Tomasz Dąbrowski,YDE.JT5.QJX.5219.EDV,D264
Etyka w biznesie międzynarodowym,Dr. Zofia Woźniakowska,HVT.AU4.ZYZ.2948.MBF,E385
Bankowość i usługi finansowe,Mgr. Piotr Dąbrowski,KGD.BI4.TOU.2717.LEW,B394
Zarządzanie portfelem,Dr hab. Zofia Szymanowska,SEL.QF9.EMP.1242.OKU,A208
Sprawozdawczość korporacyjna,Mgr. Maria Kamińska,QSE.BX6.RDZ.3792.YNU,E286
Zarządzanie sprzedażą,Dr. Katarzyna Szyszka,RLG.ZU1.UWL.6089.NVU,G311
Finanse łańcucha dostaw,Inż. Ewa Dąbrowska,ZWX.OH6.XXJ.2173.BGM,F106
Zarządzanie innowacjami,Dr hab. Piotr Szymański,ETE.RG4.ZJW.8466.LMA,E385
Użycie oprogramowania statystycznego,Dr. Katarzyna Zielińska,TUT.BO9.PPN.5857.JDI,A188
Planowanie mediów,Dr. Katarzyna Szyszka,QKN.FU1.NVZ.7963.LGU,B209
Wprowadzenie do mikroekonomii,Dr. Maria Dąbrowska,ONB.OI9.BTJ.4024.QSE,D333
Międzynarodowe zarządzanie finansami,Dr. Katarzyna Szymańska,FGJ.AP7.YSO.3133.DTF,A261
Inteligentna logistyka,Dr hab. Piotr Nowakowski,NRZ.DO2.NLS.1664.FDN,F244
Zarządzanie start-upami,Dr. Maria Lewandowska,PMK.AP7.GZV.9744.LIX,C105
Relacje przemysłowe,Dr. Marek Zieliński,TZY.YT4.LMI.6309.TTF,B198
Python dla biznesu,Mgr. Maria Lewandowska,SUB.TT7.GRJ.1897.VEF,B243
Porównawcze systemy ekonomiczne,Inż. Ewa Dąbrowska,UEW.BV1.YXK.3683.TGY,B190
Relacje z pracownikami,Dr hab. Piotr Szymański,HVT.AU4.ZYZ.2948.MBF,D280
Ekonomia transportu,Dr hab. Ewa Zielińska,PMK.AP7.GZV.9744.LIX,E354
Budowanie marki online,Dr hab. Marek Dąbrowski,DOO.AF7.PUQ.1948.HOL,E286
Analiza szeregów czasowych,Prof. Andrzej Szymański,ZCT.XU8.BJX.7206.HOP,G389
Kapitał podwyższonego ryzyka,Dr. Anna Lewandowska,SQP.TV7.URO.4305.QVL,B299
Badania operacyjne,Mgr. Zofia Kowalska,PQI.RE0.JLJ.2117.PNV,H112
Optymalizacja dla wyszukiwarek (SEO),Mgr. Anna Zielińska,OBB.VH5.LUN.0250.ZGC,E165
Zarządzanie zaopatrzeniem,Mgr. Jan Szymański,WZU.CW1.XTG.3642.WUL,B198
Biznes międzynarodowy,Inż. Jan Szymański,IFN.BI7.TAV.5742.WQF,B198
Finanse przedsiębiorstw,Dr. Katarzyna Szyszka,APJ.FY5.UFT.6300.ONQ,F244
Finanse łańcucha dostaw,Dr hab. Piotr Szymański,QIL.FU4.CXU.0990.XKN,G240
Planowanie mediów,Prof. Tomasz Wójcik,EYU.DT6.TBC.3104.SJC,B299
Rachunek kosztów,Dr. Maria Zieliński,KOR.XX2.LTF.8475.WBU,A208
Zaawansowane techniki Excela,Mgr. Piotr Dąbrowski,ZFT.RD7.FTV.1813.RKV,G210
Zaawansowana analiza makroekonomiczna,Dr hab. Andrzej Lewandowski,HTK.LE6.AAW.1341.XLJ,H112
Lean Management,Mgr. Jan Wiśniewski,QSN.MI8.RAT.1792.MAV,D264
Podatki,Mgr. Piotr Szymański,JQG.HO1.SYW.0202.VDD,H251
Prognozowanie sprzedaży,Dr. Anna Lewandowska,HMP.ZE3.VKW.6047.OAW,C379
Regulacje importowe i eksportowe,Mgr. Marek Wójcik,WCZ.ZI6.EIL.6927.ANQ,H101
Planowanie finansowe,Mgr. Tomasz Polak,IHD.KT1.POS.9964.MVT,B300
Zarządzanie danymi klientów,Inż. Katarzyna Dąbrowska,SBW.SS1.DHE.0691.GYW,E233
Rozwój organizacyjny,Inż. Maria Wiśniewska,GOP.OU5.DLB.8286.QFC,B135
Zasady audytu,Dr hab. Katarzyna Kamiński,OOG.CU9.LTX.5149.CYJ,A208
Zarządzanie strategiczne,Inż. Anna Kowalska,NHT.TT7.RJR.0906.MSZ,C332
Marketing cyfrowy,Inż. Zofia Woźniak,YMH.LK9.BNM.4167.MHF,F124
Regulacje importowe i eksportowe,Mgr. Piotr Szymański,DHN.YK3.TPY.3244.MKR,B300
Regulacje importowe i eksportowe,Prof. Tomasz Dąbrowski,RPD.NI0.ROW.4727.MGK,C379
Budowanie marki online,Mgr. Piotr Szymański,KSE.CS3.URP.5488.MSK,A261
Zarządzanie wydarzeniami,Dr. Marek Woźniak,UWR.OR4.NYJ.8726.KYV,C379
Analiza decyzyjna,Prof. Zofia Miodowska,EJC.LZ3.AXY.2836.HED,B384
Zachowania organizacyjne,Inż. Anna Kowalska,EJC.LZ3.AXY.2836.HED,H235
Podatki,Inż. Katarzyna Wiśniewska,NOY.KB2.GLS.8276.NTK,F139
Zarządzanie cyklem życia produktu,Inż. Katarzyna Dąbrowska,DTQ.YN8.OSR.2823.BLL,B379
Zarządzanie zdrowiem i bezpieczeństwem,Dr. Katarzyna Zielińska,CQO.ZF5.MEI.7798.VHM,F328
Etyczne hackowanie dla biznesu,Dr. Andrzej Wiśniewski,QZK.BN3.APL.2257.JOO,F208
Zarządzanie markami luksusowymi,Inż. Piotr Szymański,YDE.JT5.QJX.5219.EDV,E325
Analiza marketingowa,Dr. Ewa Zielińska,CPU.AW1.GOQ.7175.XAG,A242
Zarządzanie detaliczne,Mgr. Maria Dąbrowska,EZE.KI2.VAU.3851.CQF,E354
Teoria mikroekonomiczna,Prof. Andrzej Szymański,GCH.DV6.ERX.9640.DNJ,E165
Zarządzanie międzykulturowe,Prof. Maria Woźniak,DEN.CL3.POI.0792.DSS,D205
Zachowania organizacyjne,Dr. Marek Kamiński,OFP.WJ0.LRJ.9559.RJH,C245
Etyka biznesu,Inż. Piotr Szymański,EGA.TU9.VRT.2826.QYN,E381
Strategia korporacyjna,Mgr. Piotr Szymański,OOG.CU9.LTX.5149.CYJ,D280
Ekonomia przemysłowa,Mgr. Anna Lewandowska,LLO.ZY4.WVH.2797.XDC,C328
Etyczne hackowanie dla biznesu,Dr. Marek Woźniak,TXE.TR0.JGS.5994.WSD,E348
Zarządzanie reklamą,Mgr. Piotr Szymański,IHD.KT1.POS.9964.MVT,H101
Modelowanie finansowe,Prof. Zofia Miodowska,FZM.DZ8.UXQ.8836.LIA,A129
Planowanie mediów,Prof. Andrzej Szymański,BKM.SW8.AXI.5980.EIA,B165
Sieci komputerowe,Dr hab. Andrzej Lewandowski,OFE.KR6.JQI.4517.RMA,C320
Technologie finansowe (FinTech),Inż. Katarzyna Zielińska,IFM.NY9.YNX.6019.RXM,A136
Analiza dużych zbiorów danych,Prof. Marek Wójcik,MIR.SW8.VIF.7653.UAG,H236
Zarządzanie markami luksusowymi,Inż. Zofia Woźniak,MSD.KD5.SIQ.3688.DTR,B209
Zielony łańcuch dostaw,Inż. Zofia Woźniak,RSQ.YZ3.EGU.5784.EXO,C242
Odpowiedzialność społeczna przedsiębiorstw,Dr hab. Tomasz Woźniak,OBB.VH5.LUN.0250.ZGC,H186
Zarządzanie relacjami z klientem,Prof. Zofia Zielińska,SBW.SS1.DHE.0691.GYW,B209
Studia kulturowe,Inż. Tomasz Kowalski,QMY.KY7.WGH.8609.ZNW,G389
Zaawansowane finanse przedsiębiorstw,Dr hab. Katarzyna Kamiński,EWE.GX2.ODV.7316.WMH,B165
Analiza marketingowa,Dr. Zofia Woźniakowska,NWW.AW6.BIF.8667.JPM,C379
Ekonometria,Dr hab. Anna Wiśniewska,KDP.BC8.VXT.8146.OUS,B379
Strategie cenowe,Mgr. Tomasz Nowakiewicz,TUT.BO9.PPN.5857.JDI,B299
Teoria mikroekonomiczna,Mgr. Maria Dąbrowska,DOO.AF7.PUQ.1948.HOL,A136
Porównawcze systemy ekonomiczne,Inż. Zofia Dąbrowska,WCZ.ZI6.EIL.6927.ANQ,C105
Użycie oprogramowania statystycznego,Inż. Maria Dąbrowski,BKM.SW8.AXI.5980.EIA,E282
Budowanie marki online,Dr. Piotr Woźniak,HVT.AU4.ZYZ.2948.MBF,D333
Zarządzanie lotnictwem,Dr. Ewa Zielińska,TZY.YT4.LMI.6309.TTF,C328
Wprowadzenie do makroekonomii,Prof. Maria Woźniak,HVB.OJ6.GZB.7025.KSG,H235
Regulacje dotyczące prywatności danych,Inż. Marek Szymański,DHN.YK3.TPY.3244.MKR,D385
Handel międzynarodowy,Dr. Maria Dąbrowska,DYN.MU5.MFH.6950.DJM,B299
Strategie rekrutacyjne,Mgr. Anna Zielińska,QGF.VQ3.SEX.5164.CAI,B135
Przemysły kreatywne,Inż. Anna Kowalska,OIA.PL3.WUJ.5193.MRZ,E173
Visual Basic dla aplikacji,Mgr. Jan Lewandowski,EDB.RH5.MAR.3310.IIM,A188
Prognozowanie sprzedaży,Dr. Marek Lewandowski,EKT.LI5.HQV.1107.OVS,C320
Podstawy marketingu,Dr. Anna Zielińska,XVL.LU4.PEN.2514.ODK,E211
Podstawy marketingu,Dr. Katarzyna Szymańska,ZCT.XU8.BJX.7206.HOP,F106
Zaawansowana wizualizacja danych,Dr hab. Maria Wójcik,CYV.DC9.AFR.6362.CYX,C105
Zarządzanie międzykulturowe,Mgr. Piotr Lewandowski,HVB.OJ6.GZB.7025.KSG,F328
Zarządzanie operacyjne,Dr. Anna Dąbrowska,SIL.DJ6.TIA.8325.HAB,F142
Studia kulturowe,Dr. Katarzyna Zielińska,VYS.XC2.XEW.5584.LDS,E183
Zaawansowane praktyki HR,Dr hab. Tomasz Woźniak,EDB.RH5.MAR.3310.IIM,A358
Zarządzanie logistyką,Prof. Katarzyna Wójcik,KCV.VP1.FTH.8857.TDY,B340
Ekonomia nieruchomości,Mgr. Tomasz Nowakiewicz,UMI.WM8.CRQ.7059.SDN,A242
Ekonomia środowiskowa,Dr. Ewa Zielińska,CQO.ZF5.MEI.7798.VHM,C105
Analiza inwestycji,Dr hab. Piotr Nowakowski,CBZ.YK9.FTS.6484.FYG,E354
Zaawansowane techniki Excela,Prof. Anna Nowak,QEK.CB5.XJY.6186.CBI,E183
Globalne strategie HR,Dr. Jan Zieliński,GSG.YE2.ZAC.2685.EQS,H101
Zasady audytu,Inż. Katarzyna Dąbrowska,ZFT.RD7.FTV.1813.RKV,B198
Analiza ruchu w sieci,Inż. Maria Dąbrowski,FZR.NM3.HNC.2615.WZA,C245
Etyczne hackowanie dla biznesu,Prof. Andrzej Szymański,QSC.TR2.PPG.1283.PVD,D106
Psychologia konsumenta,Mgr. Zofia Kowalska,PXN.NF6.JCD.2409.YTY,G389
Zarządzanie transportem kolejowym,Dr. Katarzyna Szyszka,ZWX.OH6.XXJ.2173.BGM,H365
Marketing międzynarodowy,Dr hab. Piotr Nowak,WMW.LV5.FDE.5907.GSM,H211
Sprawozdawczość korporacyjna,Mgr. Andrzej Kamiński,CBZ.YK9.FTS.6484.FYG,D191
Marketing międzynarodowy,Dr hab. Piotr Nowakowski,IDX.LQ3.VQU.4220.PYO,E186
Zaawansowana analiza makroekonomiczna,Mgr. Katarzyna Szymańska,FRA.FN4.QZU.8710.HOY,F124
Negocjacje i rozwiązywanie konfliktów,Dr. Anna Dąbrowska,EPJ.NN9.ETJ.0333.BAJ,A358
Badania operacyjne,Dr. Marek Lewandowski,KLG.PZ1.DRJ.9976.BJH,H211
Metody ilościowe w biznesie,Inż. Jan Nowak,KEM.TL8.ZET.1963.BSS,A261
Ekonomia nieruchomości,Dr. Piotr Wiśniewski,WPF.BA4.HUF.2508.ZCE,E211
Zaawansowana analiza makroekonomiczna,Dr hab. Ewa Dąbrowska,SMM.SS1.QVW.1779.KHB,D160
Blockchain i kryptowaluty,Dr. Maria Zieliński,RYC.KE6.EHH.8944.IOK,F389
Strategia korporacyjna,Inż. Zofia Wójcik,UXG.UH4.KAL.6970.LCC,E353
Finanse behawioralne,Inż. Katarzyna Zielińska,TXE.TR0.JGS.5994.WSD,H361
Przedsiębiorczość,Dr hab. Tomasz Woźniak,XVL.LU4.PEN.2514.ODK,B396
Zarządzanie relacjami z klientem,Mgr. Tomasz Szymański,ZAZ.HH8.VMQ.0774.KOW,C105
Tworzenie stron internetowych,Dr. Marek Dąbrowski,HKX.SN9.IAC.7326.USM,B384
Badania rynku,Dr hab. Piotr Nowakowski,JQG.HO1.SYW.0202.VDD,C332
Optymalizacja procesów biznesowych,Dr hab. Ewa Zielińska,FIF.IB6.SBJ.2478.ZYC,F370
Zachowania organizacyjne,Mgr. Piotr Kamiński,WXD.JE6.FNR.6501.HUF,A261
Gospodarka cyfrowa,Dr. Piotr Dąbrowski,QKN.FU1.NVZ.7963.LGU,C320
Prognozowanie sprzedaży,Prof. Marek Wójcik,OOG.CU9.LTX.5149.CYJ,F389
Zarządzanie wydajnością,Dr hab. Katarzyna Kamiński,HPC.JR1.ZWN.0497.ITX,B209
Marketing cyfrowy,Mgr. Tomasz Kamiński,UKX.FS1.GKW.1833.PNM,D333
Wprowadzenie do makroekonomii,Mgr. Anna Lewandowska,IFN.BI7.TAV.5742.WQF,A335
Zarządzanie start-upami,Inż. Maria Dąbrowski,IAN.EB9.HAN.4884.THC,C242
Zarządzanie strategiczne,Mgr. Andrzej Kamiński,WSX.ZB2.IDE.4895.TVM,A136
Teoria makroekonomiczna,Inż. Tomasz Kowalski,RLG.ZU1.UWL.6089.NVU,C105
Marketing międzynarodowy,Mgr. Marek Zieliński,FRN.RT0.YRW.7844.INO,G311
Prezentacje i wystąpienia publiczne,Mgr. Zofia Wiśniewska,HKX.SN9.IAC.7326.USM,A396
Zaawansowane badania konsumenckie,Inż. Katarzyna Wiśniewska,YSH.CI5.YEG.5108.TOL,C328
Ład korporacyjny,Dr. Andrzej Wiśniewski,BFP.QK3.YOL.4994.ANV,A326
Ład korporacyjny,Mgr. Tomasz Kamiński,PXN.NF6.JCD.2409.YTY,F229
Zarządzanie wydajnością,Dr hab. Piotr Nowak,IFM.NY9.YNX.6019.RXM,G277
Finanse przedsiębiorstw,Mgr. Tomasz Nowakiewicz,VVK.PE9.VAU.7412.MSK,G155
Inteligentna logistyka miejska,Inż. Anna Kowalska,JEA.JB5.MHM.9323.KHY,F124
Podstawy marketingu,Mgr. Tomasz Dąbkowski,UDT.FC6.DKR.6724.SZY,F328
Zarządzanie strategiczne,Dr hab. Piotr Szymański,BFN.OF8.PWR.0279.RWQ,F139
Zarządzanie projektami,Inż. Anna Kowalska,BNT.IW7.OSL.3405.NVE,H365
Rozwój organizacyjny,Inż. Katarzyna Zielińska,OUP.UT9.PJN.3348.FCR,B165
Zastosowania uczenia maszynowego,Dr. Katarzyna Szymańska,UMI.WM8.CRQ.7059.SDN,D160
Marketing cyfrowy,Mgr. Tomasz Polak,IAN.EB9.HAN.4884.THC,D271
Ład korporacyjny,Inż. Marek Szymański,BNM.WD8.BSF.4070.UUF,H101
Gry symulacyjne w biznesie,Dr. Piotr Woźniak,TNW.AG3.GVN.7332.DQB,G155
Statystyka II,Inż. Zofia Dąbrowska,VQP.LJ5.WEO.1716.XWJ,E233
Prezentacje i wystąpienia publiczne,Prof. Maria Woźniak,LKU.BN9.NAA.4285.QLQ,A136
Raportowanie zrównoważonego rozwoju,Dr hab. Ewa Zielińska,NDM.CD3.UAP.5426.RMJ,D333
Analiza decyzyjna,Dr hab. Marek Zieliński,OFE.KR6.JQI.4517.RMA,A136
Ekonomia środowiskowa,Dr. Ewa Zielińska,RLG.ZU1.UWL.6089.NVU,E385
Blockchain i kryptowaluty,Prof. Katarzyna Wójcik,TNX.EB3.GUQ.0296.LHW,E348
Regulacje rynków finansowych,Dr. Katarzyna Zielińska,KFC.GX1.OCI.3890.MTV,D160
Lean Management,Prof. Katarzyna Zielińska,VYS.XC2.XEW.5584.LDS,D333
Gry symulacyjne w biznesie,Prof. Katarzyna Zielińska,RHU.GJ7.UZX.9301.XAD,A326
Środowisko prawne biznesu,Inż. Tomasz Kowalski,XOO.YT3.SUV.4283.UGS,G155
Rynki instrumentów pochodnych,Prof. Marek Wójcik,EWA.HP7.WCN.5830.EAO,B198
Sprawozdawczość korporacyjna,Dr. Marek Lewandowski,DTX.YL0.PXJ.2128.IQD,A335
Rynki instrumentów pochodnych,Prof. Maria Szymańska,EDK.VE5.MBM.5514.LJK,F106
Systemy zarządzania bazami danych,Prof. Ewa Lewandowska,KRE.WO3.CZH.9033.RII,B209
Zachowania organizacyjne,Dr. Maria Dąbrowska,ZFT.RD7.FTV.1813.RKV,D352
E-commerce,Inż. Zofia Dąbrowska,ZJD.US9.EGI.6635.HAH,D385
Relacje przemysłowe,Inż. Tomasz Kowalski,DLR.JR8.DZW.1254.CDR,D106
Podstawy marketingu,Mgr. Jan Szymański,WAV.TE4.TDJ.2806.RFL,H101
Zarządzanie cyklem życia produktu,Prof. Jan Szymański,XUQ.LY4.VSA.1894.UIH,F149
Zintegrowana komunikacja marketingowa,Prof. Marek Wójcik,OUP.UT9.PJN.3348.FCR,A358
Zarządzanie danymi klientów,Inż. Ewa Dąbrowska,NTV.KM5.ZHF.9246.EXE,E286
Finanse publiczne,Inż. Katarzyna Zielińska,SBW.SS1.DHE.0691.GYW,H211
Zaawansowane badania konsumenckie,Mgr. Maria Lewandowska,REY.EF1.LDG.3382.AKB,F205
Planowanie strategiczne marketingu,Dr. Zofia Lewandowska,FVH.RS5.VOJ.2504.IIT,H101
Zarządzanie jakością,Prof. Jan Szymański,WXD.JE6.FNR.6501.HUF,A358
Statystyka II,Prof. Piotr Nowak,XVL.LU4.PEN.2514.ODK,E325
Socjologia organizacji,Mgr. Marek Wójcik,ZJD.US9.EGI.6635.HAH,G155
Strategie w mediach społecznościowych,Inż. Andrzej Kowalski,OFE.KR6.JQI.4517.RMA,B226
Rozwój produktu,Mgr. Maria Lewandowska,CQO.ZF5.MEI.7798.VHM,G155
Gospodarka cyfrowa,Dr hab. Tomasz Woźniak,EHK.JR4.LDZ.7467.NJL,E183
Planowanie mediów,Dr hab. Maria Wójcik,SMM.SS1.QVW.1779.KHB,B394
Fuzje i przejęcia,Mgr. Anna Lewandowska,QYC.YJ4.TUT.5534.TQY,H186
Zarządzanie kryzysowe,Dr. Anna Zielińska,FRA.FN4.QZU.8710.HOY,G389
